bsed_id,movement_id,measure_range,n_notes,average_duration_seconds,real_audio_versions,synthetic_audio_versions,total_score_audio_pairs,score_formats,alignment_level,match_class,dataset_doi
BSED-01,Op021-01,1-4,159,26.8,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-02,Op021-02,6-16,256,21.6,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-03,Op036-01,0-3,73,17.4,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-04,Op036-01,35-48,556,19.5,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-05,Op036-03,1-26,396,17.0,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-06,Op055-01,1-17,318,21.5,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-07,Op055-02,143-148,347,23.1,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-08,Op055-03,231-264,234,21.8,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-09,Op060-01,1-6,72,28.5,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-10,Op060-02,98-101,279,21.6,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-11,Op067-01,1-21,247,21.2,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-12,Op067-04,110-120,367,16.7,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-13,Op068-01,1-26,300,27.7,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-14,Op068-05,194-201,500,16.9,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-15,Op092-02,1-18,171,16.9,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-16,Op092-04,31-49,525,16.5,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-17,Op093-01,1-20,769,22.2,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-18,Op093-02,30-35,322,17.8,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-19,Op125-01,374-385,376,21.7,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
BSED-20,Op125-03,3-7,102,27.3,4,1,5,"PDF|MusicXML|Sibelius|MIDI|CSV",manually_verified_note_level,orchestral_excerpt_score_audio_verified,10.5281/zenodo.20344500
