record_id,serial_no,file_name,source_code,source_class,title,composer,original_instrumentation,rendered_instrumentation,license_label,source_rights_identified,duration,duration_seconds,rendered_source_count,rendered_duration,n_string_parts,string_stem_duration,dataset_url,metadata_sheet_url,score_input_relation,pair_class,human_performance_claim,printable_full_score_claim,access,audio_binary_mirrored
ensembleset-001-aef258138c57,1,03-anitrasdance,MTP_MID,Mutopia source MIDI,Anitra's Dance (Tanz) from Peer Gynt Suite I,E. Grieg,"V1, V2, Va1, Va2, Vc1, Vc2, CB, Triangle","V1, V2, Va, Vc, CB",Public,True,0:01:44,104,5,2:53:20,5,0:08:40,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-002-74b4c7a4ec3c,2,aasesdeath,MTP_MID,Mutopia source MIDI,Aase's Death from Peer Gynt Suite I,E. Grieg,"V1, V2, Va, Vc, CB",all,Public,True,0:03:36,216,5,6:00:00,5,0:18:00,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-003-f6d241b06d04,3,AgitatoDaFiereTempeste,MTP_MID,Mutopia source MIDI,"Agitato da fiere tempeste , Aria from Riccardo primo",G. F. Handel,"Ob1/Ob2/V1, V2, Va, CB","V1,V2,Va",CCA-SA-3.0,True,0:02:48,168,3,2:48:00,3,0:08:24,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-004-95252cb13959,4,AllegroAssai,MTP_MID,Mutopia source MIDI,Sinfonia,Friedrich II of Prussia,"Ob1, Ob2, FH1, FH2, V1, V2, Va, CB",all,CCA-SA-3.0,True,0:03:32,212,8,9:25:20,4,0:14:08,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-005-7c628c5405af,5,AlTardarDellaVendetta,MTP_XML,Mutopia source MusicXML,"Al tardar della vendetta , Aria from Deidamia",G. F. Handel,"V1, V2, Va, Vc",all,CCA-SA-3.0,True,0:03:16,196,4,4:21:20,4,0:13:04,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-006-77aa42aa2f49,6,autumn,MTP_MID,Mutopia source MIDI,Autumno / Autumn,A. Vivaldi ,"VLead, V1, V2, Va, Vc, Organ/CB","V1, V2, Va, Vc",CCA-SA-3.0,True,0:03:50,230,4,5:06:40,4,0:15:20,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-007-bb588ecbdb97,7,BelPiacer,MTP_MID,Mutopia source MIDI,"Bel piacer, Aria from Semiramide riconosciuta",N. Porpora,"V1, V2, Va, CB","V1, V2, Va",CCA-SA-3.0,True,0:03:50,230,3,3:50:00,3,0:11:30,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-008-c59952d89149,8,Calcante_ed_Achille,MTP_MID,Mutopia source MIDI,"Calcante ed Achille, Cantata a due Voci per Soprano e Basso",N. Porpora,"V1, V2, Va, CB","V1, V2, Va",CCA-SA-3.0,True,0:01:00,60,3,1:00:00,3,0:03:00,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-009-5366af2c3170,9,CaraSposa,MTP_XML,Mutopia source MusicXML,"Cara sposa, amanta cara , Aria from Rinaldo",G. F. Handel,"V1, V2, Va, Vc",all,CCA-SA-3.0,True,0:04:54,294,4,6:32:00,4,0:19:36,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-010-8d8d6542f416,10,concerto-in-d-minor,MTP_MID,Mutopia source MIDI,Concerto in D minor for two violins and strings, J. S. Bach,"V1, V2, V3, V4, Va, Vc",all,Public,True,0:03:31,211,6,7:02:00,6,0:21:06,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-011-236648cf22d5,11,concerto-in-e-major,MTP_MID,Mutopia source MIDI,Concerto in E major for violin and strings, J. S. Bach,"V1, V2, V3, Va, Vc",all,Public,True,0:06:20,380,5,10:33:20,5,0:31:40,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
ensembleset-012-899f364ef658,12,contrapunctusII,MTP_XML,Mutopia source MusicXML,"Die Kunst der Fuge, Contrapunctus II",J. S. Bach ,"V1, V2, Va, CB",all,Public,True,0:03:04,184,4,4:05:20,4,0:12:16,https://zenodo.org/records/7327175,https://docs.google.com/spreadsheets/d/1Trq9DVDYXseofa9iEYtMiAcrNBP6WoNBND4H3BrzUyo,Original input is MIDI or MusicXML as identified by source_code; dataset audio and included articulation MIDI are rendered/derived from that symbolic source,symbolic_chamber_ensemble_score_midi_synthetic_multitrack_audio,False,source dependent; source symbolic score exists but this metadata does not independently verify an engraved conductor score,restricted for multitracks+MIDI version; academic pledge/access request required,False
