match_id,score_id,score_name,composer,collection,movement,score_path,mscz_path,mscz_sha256,mxl_path,mxl_sha256,alignment_path,alignment_sha256,alignment_rows,alignment_column,audio_id,performers,publisher,recording_year,imslp_number,audio_url,source_repository,source_tag,match_class,alignment_claim,edition_identity_claim,human_performance,audio_redistributed,rights_note
hauptstimme-audio-46dea8f16a88b9b569c2,25,Allegro,"Bach, Johann Sebastian","Brandenburg Concerto No.3, BWV.1048",1,"Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/1","data/Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/1/Bach_BWV.1048_1.mscz",7ea8d2cf64a0aa54cdd4d7f5df8f7433fdf5f3169b27111e9c62be4e30d90a4c,"data/Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/1/Bach_BWV.1048_1.mxl",750e8897580a243732415b3d452bf42872b2a52d739007efeb6108f7904b0c8f,"data/Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/1/Bach_BWV.1048_1_alignment.csv",6f61eb9acfaa40299b0a8e31053d4e928a6be1d2c9648f003e82a3261cf21bf1,1975,83284_tstamp,1,Advent Chamber Orchestra,Pandora Records/Al Goldstein Archive,,83284,https://imslp.org/images/b/bf/PMLP82079-3Bach1.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-d78ed1f003075e0392e8,26,Adagio,"Bach, Johann Sebastian","Brandenburg Concerto No.3, BWV.1048",2,"Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/2","data/Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/2/Bach_BWV.1048_2.mscz",684efde211b80d60c241a9e5d65104bc4336f01d4ad3ea3a95cfeb569fe8c103,"data/Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/2/Bach_BWV.1048_2.mxl",7e8493d4403bf01ec9c1747c79383d285a7e7a76c05cddb221bba0dc9ef6a6c1,"data/Bach,_Johann_Sebastian/Brandenburg_Concerto_No.3,_BWV.1048/2/Bach_BWV.1048_2_alignment.csv",9094a948fce47950856be93058070d777afbccca1db3bec26f45e282e025ad58,2,83285_tstamp,2,Advent Chamber Orchestra,Pandora Records/Al Goldstein Archive,,83285,https://imslp.org/images/0/03/PMLP82079-4Bach2.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-ee0101569c358f0ffb42,35,Adagio molto – Allegro con brio,"Beethoven, Ludwig van","Symphony No.1, Op.21",1,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mscz",91b281018f46c2a4c39a088a7760caf2639d5790bbc354fb09f0aadb3c0f2c76,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mxl",7e50f5df82095ad1f23d6d6fadd2be5ca3f77af634c6310d3e3eefe4bf5b3bdb,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1_alignment.csv",4c43e0242b488df71b434f9714af96992df999099891088cdbd7fb7f60e0590a,2264,589444_tstamp,4,United States Marine Band,"Washington, DC: United States Marine Band.",2019,589444,https://imslp.org/images/f/fa/PMLP01582-BEETHOVEN_Symphony_No._1_in_C%2C_Opus_21_Mvt._1_-_Marine_Chamber_Orchestra.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-6b5d49eb1792c3202420,35,Adagio molto – Allegro con brio,"Beethoven, Ludwig van","Symphony No.1, Op.21",1,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mscz",91b281018f46c2a4c39a088a7760caf2639d5790bbc354fb09f0aadb3c0f2c76,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mxl",7e50f5df82095ad1f23d6d6fadd2be5ca3f77af634c6310d3e3eefe4bf5b3bdb,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1_alignment.csv",4c43e0242b488df71b434f9714af96992df999099891088cdbd7fb7f60e0590a,2264,729155_tstamp,16,"Royal Philharmonic Orchestra, René Leibowitz",Reader's Digest. RDA-6 (1-7).,1961,729155,https://imslp.org/images/1/1c/PMLP1582-01.01._Symphony_No._1_In_C_Major%2C_Op._21-_1st_Movement_-_Adagio_Molto%3B_Allegro_Con_Brio.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-c66f43b3d7e034e74fe9,35,Adagio molto – Allegro con brio,"Beethoven, Ludwig van","Symphony No.1, Op.21",1,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mscz",91b281018f46c2a4c39a088a7760caf2639d5790bbc354fb09f0aadb3c0f2c76,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mxl",7e50f5df82095ad1f23d6d6fadd2be5ca3f77af634c6310d3e3eefe4bf5b3bdb,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1_alignment.csv",4c43e0242b488df71b434f9714af96992df999099891088cdbd7fb7f60e0590a,2264,735781_tstamp,28,"Orchestre de la Suisse Romande, Ernest Ansermet",London Records. STS 15032.,1956,735781,https://imslp.org/images/5/59/PMLP1582-01.01._Beethoven-_Symphony_No._1_In_C%2C_Op._21-_Adagio_molto_._._._Allegro_con_brio.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-ab5517a8181a31aad33b,35,Adagio molto – Allegro con brio,"Beethoven, Ludwig van","Symphony No.1, Op.21",1,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mscz",91b281018f46c2a4c39a088a7760caf2639d5790bbc354fb09f0aadb3c0f2c76,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mxl",7e50f5df82095ad1f23d6d6fadd2be5ca3f77af634c6310d3e3eefe4bf5b3bdb,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1_alignment.csv",4c43e0242b488df71b434f9714af96992df999099891088cdbd7fb7f60e0590a,2264,736426_tstamp,8,"Pittsburgh Symphony Orchestra, William Steinberg",Command. CC 11024 SD.,1964,736426,https://imslp.org/images/1/14/PMLP1582-01.01._Symphony_No._1_In_C_Major%2C_Opus_21-_Adagio_Molto%2C_Allegro_Con_Brio.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-f8ef472880a154594bfb,35,Adagio molto – Allegro con brio,"Beethoven, Ludwig van","Symphony No.1, Op.21",1,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mscz",91b281018f46c2a4c39a088a7760caf2639d5790bbc354fb09f0aadb3c0f2c76,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1.mxl",7e50f5df82095ad1f23d6d6fadd2be5ca3f77af634c6310d3e3eefe4bf5b3bdb,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/1/Beethoven_Op.21_1_alignment.csv",4c43e0242b488df71b434f9714af96992df999099891088cdbd7fb7f60e0590a,2264,736431_tstamp,12,"London Symphony Orchestra, Josef Krips",Everest. SDBR 3089.,1962,736431,https://imslp.org/images/4/47/PMLP1582-aa01.01._Symphony_No._1_In_C_Major%2C_Op._21_1st_Movement_-_Adagio_Molto%3B_Allegro_Con_Brio.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-72972cbd6705b765c0fa,36,Andante cantabile con moto,"Beethoven, Ludwig van","Symphony No.1, Op.21",2,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2.mscz",2ddea3d9780ad15c18ad5fb6a53ba416ee66fa91dea565400c0671845fa7e730,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2.mxl",3ca6d1a44ce70e0c38ff01f29669c23c36a1f90682f08bafe94160e22f9fa9f1,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2_alignment.csv",4a085578171b890008160199eb5fd825614f1ef73dcc1a001f3c10d0b59ccdbb,1046,589445_tstamp,5,United States Marine Band,"Washington, DC: United States Marine Band.",2019,589445,https://imslp.org/images/7/79/PMLP01582-BEETHOVEN_Symphony_No._1_in_C%2C_Opus_21_Mvt._2_-_Marine_Chamber_Orchestra.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-24a149f74a04566c2225,36,Andante cantabile con moto,"Beethoven, Ludwig van","Symphony No.1, Op.21",2,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2.mscz",2ddea3d9780ad15c18ad5fb6a53ba416ee66fa91dea565400c0671845fa7e730,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2.mxl",3ca6d1a44ce70e0c38ff01f29669c23c36a1f90682f08bafe94160e22f9fa9f1,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2_alignment.csv",4a085578171b890008160199eb5fd825614f1ef73dcc1a001f3c10d0b59ccdbb,1046,711704_tstamp,21,"Detroit Symphony Orchestra, Paul Paray",Mercury. MG50205.,1959,711704,https://imslp.org/images/c/c5/PMLP1582-02.03._Andante_Cantabile_Con_Molto.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
hauptstimme-audio-6e1f464b711c6de0893e,36,Andante cantabile con moto,"Beethoven, Ludwig van","Symphony No.1, Op.21",2,"Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2","data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2.mscz",2ddea3d9780ad15c18ad5fb6a53ba416ee66fa91dea565400c0671845fa7e730,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2.mxl",3ca6d1a44ce70e0c38ff01f29669c23c36a1f90682f08bafe94160e22f9fa9f1,"data/Beethoven,_Ludwig_van/Symphony_No.1,_Op.21/2/Beethoven_Op.21_2_alignment.csv",4a085578171b890008160199eb5fd825614f1ef73dcc1a001f3c10d0b59ccdbb,1046,723418_tstamp,25,"Columbia Symphony Orchestra, Bruno Walter",CBS. BRG 72056.,1959,723418,https://imslp.org/images/9/90/PMLP1582-02.03._Symphony_No._1_In_C_Major%2C_Op._21-_2nd_Movt-_Andante_Cantabile_Con_Moto.mp3,MarkGotham/Hauptstimme,v4.7.3,human_performance_note_onset_aligned_strong_match,Repository alignment maps score onset positions to timestamps in this specific IMSLP audio file,False,True,False,Metadata and source URL only; review IMSLP file-page rights before downloading or redistributing audio
