record_id,piece_code,composer,symphony,movement,scope,pdf_path,musicxml_path,source_repository,source_url,pair_class,midi_prepackaged,midi_materialization_recipe,pdf_musicxml_relation,license,human_performance_claim,notes
s3-mo1,mo1,Wolfgang Amadeus Mozart,Symphony No. 41 in C major,1,full movement,symbolic_symphony_set/mo1/sheet.pdf,symbolic_symphony_set/mo1/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/mo1,encoded_full_score_deterministic_midi_export,False,musescore -o mo1.mid symbolic_symphony_set/mo1/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-mo2,mo2,Wolfgang Amadeus Mozart,Symphony No. 41 in C major,2,full movement,symbolic_symphony_set/mo2/sheet.pdf,symbolic_symphony_set/mo2/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/mo2,encoded_full_score_deterministic_midi_export,False,musescore -o mo2.mid symbolic_symphony_set/mo2/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-mo3,mo3,Wolfgang Amadeus Mozart,Symphony No. 41 in C major,3,full movement,symbolic_symphony_set/mo3/sheet.pdf,symbolic_symphony_set/mo3/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/mo3,encoded_full_score_deterministic_midi_export,False,musescore -o mo3.mid symbolic_symphony_set/mo3/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-mo4,mo4,Wolfgang Amadeus Mozart,Symphony No. 41 in C major,4,full movement,symbolic_symphony_set/mo4/sheet.pdf,symbolic_symphony_set/mo4/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/mo4,encoded_full_score_deterministic_midi_export,False,musescore -o mo4.mid symbolic_symphony_set/mo4/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-be1,be1,Ludwig van Beethoven,Symphony No. 9 in D minor,1,full movement,symbolic_symphony_set/be1/sheet.pdf,symbolic_symphony_set/be1/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/be1,encoded_full_score_deterministic_midi_export,False,musescore -o be1.mid symbolic_symphony_set/be1/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-be2,be2,Ludwig van Beethoven,Symphony No. 9 in D minor,2,full movement,symbolic_symphony_set/be2/sheet.pdf,symbolic_symphony_set/be2/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/be2,encoded_full_score_deterministic_midi_export,False,musescore -o be2.mid symbolic_symphony_set/be2/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-be3,be3,Ludwig van Beethoven,Symphony No. 9 in D minor,3,full movement,symbolic_symphony_set/be3/sheet.pdf,symbolic_symphony_set/be3/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/be3,encoded_full_score_deterministic_midi_export,False,musescore -o be3.mid symbolic_symphony_set/be3/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-be4,be4,Ludwig van Beethoven,Symphony No. 9 in D minor,4,full movement,symbolic_symphony_set/be4/sheet.pdf,symbolic_symphony_set/be4/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/be4,encoded_full_score_deterministic_midi_export,False,musescore -o be4.mid symbolic_symphony_set/be4/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-tc1,tc1,Pyotr Ilyich Tchaikovsky,Symphony No. 6 in B minor,1,full movement,symbolic_symphony_set/tc1/sheet.pdf,symbolic_symphony_set/tc1/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/tc1,encoded_full_score_deterministic_midi_export,False,musescore -o tc1.mid symbolic_symphony_set/tc1/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
s3-tc2,tc2,Pyotr Ilyich Tchaikovsky,Symphony No. 6 in B minor,2,full movement,symbolic_symphony_set/tc2/sheet.pdf,symbolic_symphony_set/tc2/sheet.xml,iis-mctl/mctl-symphony-dataset,https://github.com/iis-mctl/mctl-symphony-dataset/tree/main/symbolic_symphony_set/tc2,encoded_full_score_deterministic_midi_export,False,musescore -o tc2.mid symbolic_symphony_set/tc2/sheet.xml,PDF and MusicXML are published together for the same movement,MIT,False,285387-note four-symphony annotated corpus
