record_id,mutopia_id,title,composer,opus,instrumentation,ensemble_class,source_edition,license,detail_url,listing_url,score_source_format,score_download_available,midi_download_available,pdf_download_available,score_midi_relation,exactness_class,human_performance_claim,validation_date
mutopia-2145,2145,Die Freude Reget Sich,J. S. Bach,BWV 36b,"Orchestra: flute, oboe, strings, choir SATB, vocal soloists, continuo",vocal_orchestra,"Breitkopf & Härtel, Leipzig, 1887; Tanubach",CC BY-SA 4.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=2145,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-29,29,Concerto in E major for violin and strings,J. S. Bach,BWV 1042,"Violin and string orchestra: two violins, viola, cello",string_orchestra_concerto,"Bach Gesellschaft zu Leipzig, 1874",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=29,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-3,3,Concerto in D minor for two violins and strings,J. S. Bach,BWV 1043,"Violin duet and string orchestra: two violins, viola, cello",string_orchestra_concerto,"Bach Gesellschaft zu Leipzig, 1874",Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=3,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-2050,2050,Keyboard Concerto Nº 4,J. S. Bach,BWV 1055,"Orchestra: violins, viola, cello, continuo, harpsichord/clavichord/piano",orchestra_concerto,"Bach-Gesellschaft Ausgabe; Breitkopf and Härtel, 1869",CC BY-SA 4.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=2050,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-242,242,Air,J. S. Bach,"BWV 1068, Mvmt. 2",Orchestra,orchestra,Bach-Gesellschaft,CC BY-SA 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=242,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-899,899,Piano Concerto No. 3 in C Minor (1st Movement: Allegro con brio),L. V. Beethoven,Op. 37,Piano and orchestra,orchestra_concerto,Breitkopf and Hartel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=899,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-944,944,Romanze - Opus 40,L. V. Beethoven,Op. 40,Violin and orchestra,orchestra_concerto,Breitkopf and Hartel,Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=944,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-911,911,Romanze,L. V. Beethoven,Op. 50,Violin and orchestra,orchestra_concerto,Breitkopf and Hartel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=911,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-1655,1655,Symphony No. 3 in Eb Major (Eroica),L. V. Beethoven,Op. 55,Orchestra,full_orchestra,Braunschweig: Henry Litolff's Verlag, n.d. (ca. 1865),CC BY-SA 3.0,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=1655,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
mutopia-990,990,Concerto for Violin and Orchestra in D Major (1st Movement),L. V. Beethoven,Op. 61,Violin and orchestra,orchestra_concerto,Breitkopf and Hartel (1862-1865),Public Domain,https://www.mutopiaproject.org/cgibin/piece-info.cgi?id=990,https://www.mutopiaproject.org/cgibin/make-table.cgi?Instrument=Orchestra,LilyPond,True,True,True,PDF and MIDI are generated/distributed from the same Mutopia LilyPond edition,same_symbolic_source_exact,False,2026-08-28
