midi_note,gm_drum_name,records_present,note_count
38,Acoustic Snare,3207,731272
35,Acoustic Bass Drum,2400,419953
36,Bass Drum 1,2380,420710
42,Closed Hi-Hat,2176,653046
49,Crash Cymbal 1,2082,72630
57,Crash Cymbal 2,1529,82673
37,Side Stick,1419,122873
46,Open Hi-Hat,1333,115784
45,Low Tom,1272,48866
48,Hi-Mid Tom,1266,76856
47,Low-Mid Tom,1186,31254
40,Electric Snare,1155,119551
41,Low Floor Tom,1135,76339
51,Ride Cymbal 1,1116,177955
50,High Tom,1095,144528
52,Chinese Cymbal,935,34745
44,Pedal Hi-Hat,887,143138
43,High Floor Tom,790,27550
55,Splash Cymbal,738,21131
54,Tambourine,690,116429
53,Ride Bell,531,37704
59,Ride Cymbal 2,503,45201
72,Long Whistle,500,42909
60,Hi Bongo,495,117765
76,Hi Wood Block,470,42126
63,Open Hi Conga,425,44649
81,Open Triangle,406,37989
61,Low Bongo,399,40149
64,Low Conga,381,38621
39,Hand Clap,367,39963
75,Claves,332,26640
69,Cabasa,329,51319
62,Mute Hi Conga,308,36083
77,Low Wood Block,306,17742
74,Long Guiro,290,7481
56,Cowbell,252,21620
70,Maracas,248,59800
73,Short Guiro,248,22353
96,non-GM/extended,243,28647
24,non-GM/extended,218,36473
1,non-GM/extended,204,27288
84,non-GM/extended,199,3996
67,High Agogo,164,9465
79,Open Cuica,160,4154
71,Short Whistle,150,4168
65,High Timbale,140,7035
120,non-GM/extended,119,5430
26,non-GM/extended,118,4669
80,Mute Triangle,118,9508
68,Low Agogo,117,8219
82,non-GM/extended,117,28929
83,non-GM/extended,107,13703
58,Vibraslap,106,2636
2,non-GM/extended,99,2590
85,non-GM/extended,99,10316
90,non-GM/extended,97,12494
98,non-GM/extended,88,2166
27,non-GM/extended,79,12195
66,Low Timbale,78,3023
87,non-GM/extended,63,3240
97,non-GM/extended,60,1158
28,non-GM/extended,55,4934
86,non-GM/extended,52,1522
78,Mute Cuica,47,1313
25,non-GM/extended,44,1232
29,non-GM/extended,42,1499
30,non-GM/extended,42,3960
93,non-GM/extended,41,1713
89,non-GM/extended,38,527
121,non-GM/extended,33,468
0,non-GM/extended,29,1330
123,non-GM/extended,28,360
34,non-GM/extended,19,515
88,non-GM/extended,19,572
91,non-GM/extended,19,161
33,non-GM/extended,16,589
31,non-GM/extended,15,429
32,non-GM/extended,13,518
95,non-GM/extended,12,175
99,non-GM/extended,11,138
122,non-GM/extended,11,114
94,non-GM/extended,7,223
100,non-GM/extended,7,25
23,non-GM/extended,6,39
4,non-GM/extended,4,135
21,non-GM/extended,4,128
3,non-GM/extended,3,49
16,non-GM/extended,3,114
101,non-GM/extended,3,18
8,non-GM/extended,2,169
9,non-GM/extended,2,14
12,non-GM/extended,2,230
15,non-GM/extended,2,57
22,non-GM/extended,2,3
92,non-GM/extended,2,11
102,non-GM/extended,2,43
5,non-GM/extended,1,3
6,non-GM/extended,1,2
10,non-GM/extended,1,2
11,non-GM/extended,1,2
14,non-GM/extended,1,66
18,non-GM/extended,1,6
19,non-GM/extended,1,3
20,non-GM/extended,1,3
103,non-GM/extended,1,2
104,non-GM/extended,1,1
106,non-GM/extended,1,1
107,non-GM/extended,1,1
111,non-GM/extended,1,1
