meter,records
4/4,39364
3/4,10293
6/8,7495
2/4,5820
2/2,5659
4/2,1765
6/4,1417
3/2,1125
9/8,824
12/8,758
3/8,556
2/1,333
5/4,192
8/4,158
235/4,144
7/8,112
1/2,83
9/4,70
4/8,68
3/1,58
6/2,56
7/4,56
10/4,50
24/8,48
12/4,47
5/8,41
5/2,36
8/8,33
14/4,23
1/4,20
16/4,20
13/4,15
10/8,14
24/4,14
4/1,14
20/4,13
8/2,13
11/4,11
6/1,11
11/8,10
9/16,10
1/8,9
12/16,9
15/8,9
18/4,9
7/1,9
7/2,8
11/16,7
160/2,7
18/8,7
36/8,7
8/1,7
13/8,6
16/8,6
21/4,6
27/8,6
5/1,6
7/16,6
15/4,5
152/2,5
17/4,5
40/4,5
80/4,5
82/2,5
10/2,4
104/4,4
11/2,4
130/2,4
136/4,4
16/2,4
19/4,4
2/8,4
22/4,4
222/4,4
35/8,4
36/4,4
80/2,4
84/4,4
1/1,3
106/4,3
109/4,3
12/2,3
126/2,3
138/2,3
14/16,3
15/16,3
152/4,3
168/4,3
17/16,3
17/2,3
18/16,3
18/2,3
200/4,3
206/2,3
208/4,3
21/8,3
216/4,3
220/2,3
24/2,3
246/2,3
48/4,3
52/4,3
56/4,3
6/16,3
60/4,3
64/4,3
64/8,3
66/2,3
72/4,3
9/2,3
12/1,2
13/16,2
133/8,2
14/8,2
142/2,2
158/4,2
16/1,2
184/4,2
19/8,2
224/4,2
24/16,2
25/2,2
25/4,2
28/4,2
30/4,2
30/8,2
31/4,2
31/8,2
32/4,2
34/2,2
39/4,2
43/8,2
45/8,2
48/2,2
49/8,2
67/8,2
69/8,2
70/4,2
81/4,2
87/8,2
88/4,2
9/1,2
10/16,1
100/4,1
104/2,1
113/8,1
116/4,1
120/2,1
122/2,1
124/4,1
128/32,1
131/4,1
134/2,1
134/4,1
14/2,1
141/32,1
143/32,1
143/8,1
146/2,1
155/32,1
156/4,1
157/4,1
16/32,1
160/4,1
17/8,1
176/4,1
180/4,1
181/2,1
182/2,1
19/16,1
192/4,1
195/8,1
196/4,1
20/2,1
201/8,1
203/8,1
208/2,1
216/2,1
22/16,1
220/4,1
223/8,1
23/2,1
23/4,1
23/8,1
232/4,1
24/1,1
241/16,1
243/8,1
244/4,1
245/32,1
246/4,1
25/16,1
25/8,1
250/4,1
252/4,1
26/1,1
27/16,1
28/8,1
29/16,1
29/2,1
29/32,1
29/8,1
3/16,1
33/2,1
33/4,1
34/4,1
35/16,1
35/4,1
36/16,1
36/2,1
37/32,1
37/8,1
39/16,1
39/2,1
39/8,1
42/4,1
42/8,1
44/32,1
45/4,1
46/4,1
47/2,1
47/8,1
48/8,1
50/4,1
51/16,1
51/2,1
54/8,1
55/8,1
56/1,1
57/8,1
58/4,1
60/8,1
62/4,1
62/8,1
63/32,1
64/16,1
64/32,1
72/2,1
73/8,1
75/8,1
76/4,1
89/16,1
92/4,1
99/4,1
