gm_program_0based,records_present,note_count
0,50489,23139963
52,7612,3743795
73,6289,2839273
56,4093,1327312
57,4035,1571727
40,3770,1841496
91,3264,400692
71,3169,1131338
42,3168,1229150
58,2814,1078853
60,2659,908700
65,2526,690076
19,2087,1034721
66,2065,478847
41,1873,751658
48,1736,2518325
45,1605,1092265
68,1552,386328
24,1504,894006
44,1382,1280602
67,1328,343846
43,1310,529212
70,1307,312738
32,1177,538838
33,1032,467745
47,874,310323
6,776,990345
34,756,283569
9,755,245349
46,732,978001
12,717,649220
11,705,373941
53,691,403317
27,684,394584
72,649,402893
25,621,416261
74,524,207309
1,480,429145
13,479,214141
21,455,192138
64,407,123827
59,376,134090
69,371,79471
14,364,69567
26,314,149927
4,285,199796
36,265,99189
30,254,196287
37,247,87329
29,235,136644
16,223,79840
28,210,116555
75,174,80947
22,167,40301
81,154,100947
20,145,71062
80,145,90187
50,138,53328
61,123,44206
54,120,36629
49,113,66290
35,110,38790
38,102,53270
79,100,55608
62,97,41975
105,93,50612
31,92,28300
2,82,63799
89,75,30075
88,74,26683
5,69,44927
3,68,79716
8,67,34678
10,64,25198
100,62,21087
85,59,16307
18,56,21886
39,56,29667
99,55,25228
7,50,19225
96,49,17290
15,47,14851
112,47,11592
94,46,17051
103,45,10483
23,44,15257
51,44,19343
87,44,31212
114,44,49741
17,43,25551
109,43,9503
95,41,16415
102,40,27887
78,38,6569
55,37,16653
110,37,10146
90,36,18603
98,36,12920
101,34,11197
107,33,12176
97,29,10630
63,27,11592
93,27,19445
119,27,5314
92,24,14647
82,21,9639
108,15,5176
117,15,7258
83,14,6560
84,14,5847
106,14,6898
115,12,3044
77,10,3201
104,10,3424
116,10,3463
76,9,4051
111,9,1149
127,8,2837
122,6,674
118,5,4607
86,4,1056
113,4,1617
126,4,459
120,3,405
123,3,78
121,2,280
125,2,150
