fingerprint,cluster_size,record_ids
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,13,pdmx-qmamnfbx1bqmkshrbb1wbdw7e9faadtulhwgw36sop5dj3;pdmx-qmb3cvh1wkab68fskgrubdkgby4hkyiasee3hw1kxcdqwu;pdmx-qmckwtabddyhfron3wme8hplfj4axuh7tx1vbthrdlzhfi;pdmx-qmduw5clmja1gnyjvj9z7gqy3zmgaiugokmwgz5ryueasc;pdmx-qmewpazufhy3mejzikxyfpbml5jcwhnhynxgngptcwwchg;pdmx-qmft3r9or4rswuymtgp5buscfeqk8hf64nkujmsqrnkehe;pdmx-qmqlad67a71eia4dvmu3gw3arnbgolmwhakr9etp4cxujd;pdmx-qmru8czvbt2anyqjuv1bgwsqjgcrce5mwgjuihqvpd2ywj;pdmx-qmsqwzwpbdchqs7mthaq1vtsrdpdafpzrfztmj3mcuphvr;pdmx-qmsyeaxrk2rw8uwg9tlnjou6bnzeqg9wp4z9lt6ecjcuvr;pdmx-qmtvutcbjaekbzkrvwebwp6zqzbithwnaercq4zjsatvgq;pdmx-qmvy1jk9ijiwr7gtzmrqywx52xkqrvto3plskvkoink7dx;pdmx-qmyrheizynrnaxtljokf7kjguf2virarnvewo6zgemrnqv
8ec0314ac9613404f7c323533f795dcd29da66a5befc83b11c2bd79807576c4e,10,pdmx-qmazeco6kbbkvft17dumnznc6fglyl348lm83ipetr1dvv;pdmx-qmb4wuvrhnbjipcvbbrqnqikcfsnpkgd855epocidr1axx;pdmx-qmdntwrejzgcl4xtz92ks2wh6mpjem1f7pqrswd3pt69tz;pdmx-qmeckfr6ubx3niu55neo765zrkjjhehybpmgre9xbo7cwc;pdmx-qmpe6eetoruqqmmuk7qabvkxxxss4yi31jv4wyr4db4pyu;pdmx-qmrdqw17caepo7kmo3hwpppnpqqfhdji7jsrfb9qvrjvge;pdmx-qmu6tufb9lu5gz6grqyn4txaoa3uddkk1z294a45joumje;pdmx-qmviryy2anmla28iqvhzrsmkqjrkkh7pagamfnxeb1znyg;pdmx-qmvstjv96e7gxfvves2vrcr7cnhowvh7fte6sd9igwjyqv;pdmx-qmyy2rliekpenopbcnjjxxvgbo1dxxksi97j7rv4vssglb
e9305477b4385e61be176dfb92762c9a30e1148110ac77847fe1cfd091c290c9,9,pdmx-qma2sc8pdqeph9vinmq6gsi1okivtvrhd1lj3dpytrk7ep;pdmx-qmbz5smotx1rkzmbcjbtf2nbxc8cw9uz6q2rpm93q9ml8x;pdmx-qmpry35crltqp9bt3wijiu8yvw5mlfgzt9yueub8knoze7;pdmx-qmqfil6iy9xcubpnhqegr78r5m5g1s2xzbpmb94dmxwo7o;pdmx-qmrcywm8zaot73fu7qspgfzuh8azp8jx7nxzti3guwpynh;pdmx-qmtxdzmec9ahihxwmugcr3fjkyicefrtsglpmqd3fnube2;pdmx-qmvkmszls33yekhaspucilzqw4t1svsdvjalsvn3xym45f;pdmx-qmw2pfe6fddbolf8kj4ssuymecktk65qekkup9hnhlhhtr;pdmx-qmzo9rt9faxpirf43g98kxy27u3d3lfbqo9ugltnzgtkmi
58b9320ee947aecf3ec9b44e98f87791afc64a38e7d22cf5bea59acdf8498b60,8,pdmx-qmckopdke2zgvdh9frfc555ei1tyjxhg3y4rsj5dkhcyku;pdmx-qmrdkywu69t6e1txs2ssjxpsfvhqmmqneelklyoz1q7cal;pdmx-qmru3vn3sgpkreynb3h7ybkjziw6wbprxvkjcai6337ggs;pdmx-qmssv5sz2txrb6yfyqtdafyzcunelyabyvjgthagm9wuzc;pdmx-qmtbt9bb8gvgvam7uab2ghegilmueechnfebs6u8nbtztd;pdmx-qmvnmurht4vbeuwjz4iv8wvwx7einxgygn8edzobiod4gt;pdmx-qmwqgykl1obdinvfimpvtfwyup5grattnskyhvm7twantq;pdmx-qmzettatideppwzip88dhfeh1dyz8pjqnssxnhqcbyctpp
78fcfc217b92845e0f31b3dc60c01ffdd0259a47e6a8017fcd0861262e44069b,8,pdmx-qmdveeche2w32vcixnr2b5qzlsxgqme2aaanymqtyckkv3;pdmx-qme2lzmjbnyjsyryfipk3hkjwsxyfhpbtgfu7intldzzwy;pdmx-qmpoymaeyq3amt9xhpchbjqpnngkbmy6cl4vynw9tzireu;pdmx-qmpppfws4yh8vym7jvryoa1vhkni2rsa1ru6apqc195hzh;pdmx-qmqsfzvumgjtbsv38wvvp1uyju1tdh8re39hjzx3bnez4m;pdmx-qmrcrzmmgkfb7gnmtu6xshda86cjpjfxlcaospsxwclzjl;pdmx-qms6whvwdgd9tgpzzza7idtkuo6zw7eqe62whuxxjpetki;pdmx-qmvrpv8jgmw9nydht9tv6z3jugxceknyotcnlafyru2xga
86770290eecc67c8f77763ed887301cc2a1ac41ebfca92bc86581704a7de6719,8,pdmx-qmcskkyvf3xaybvhxtrdwvtgabyqedruqnmu8kgycdrqkt;pdmx-qmdn3woxi5zbabt4wqraccpw7rddwl1frvrcu2kekcsjra;pdmx-qmqpszcetgxdhjnkjyszsbrhjh4d67bezkfmnmabdlskwe;pdmx-qmr5e8gjehimsscctbt5rhjfn4lbagydux9kauvxhyddc2;pdmx-qmt2wewzilkhc6ghih34mtszxwj2p31vfs8l7yecjehboy;pdmx-qmuzcwbcp1diy5e1jvjihsxcb9xpirkqdbadxddffqthtb;pdmx-qmwdvtvgtzqbuxyumd4bdt3mwzyypbhtccku5dhpdstmqa;pdmx-qmxbpcfddf6kzz6axaauqey5m3zk9eptimuhxsttdtbb6s
c19c00a0e392b2f53d3e31423d977b15ee9800ac9242d20a2d74e6e734f058cc,8,pdmx-qmauygp2hdoqobveybm4yg7aanq8mubjrw9b1zrh7sfbai;pdmx-qmnhhjjvsazksttmn41gx8spc7vpv7m5pe9fe8dugfgwtd;pdmx-qmnhnhfxweq3lmrff9ggdqgfplq3prdh36zdekfjgnjgqt;pdmx-qmrbnqgfjszunxderhgk4wbsa4wakftecwxajarvcfgmvj;pdmx-qmrxwb6dwhnqtaizz6f45v7trsefp5cxfju5htgz6s1wzc;pdmx-qmxpsayiq14gbn3knnrqvivdyn8okrbyd5sooj6kpyvkzg;pdmx-qmygaxtbexjitattvu3pazyeajbosk2899vxyp8ccqkxzu;pdmx-qmywf3nbc3nngxrsx5zt3exhbrzwk3lkbkhftz66xw2nem
c1c650b8cd0addee8c1e123a6ff917946b9c058c988c30b1b35dc968f40c0a7a,8,pdmx-qmd7hf4imlfwfanfwjr9gynzy3vwuqqph4txbnyr18lxad;pdmx-qmehyrc7y3sd38wvztqbm7qjdcgbtcpoamtwo55mwkgezf;pdmx-qmf1czrpsbmtxk7vhzmrlanzh7yoqzgn8bkse62qt7zzic;pdmx-qmf1npq4aaeg85wcaemwxleeeya2uehp2upbqvn7vqfmpp;pdmx-qmpop8cvgjwvetftsre7htmijbrphx4waykvxnddnnxzc7;pdmx-qmtsvwsjfcakxmgn5oc5bob1mouhg9jyruqubz6qnq8mhj;pdmx-qmuvrf728nhk8sthbf8jv3n2sjerqxfy1rxd1j7qo7vrmk;pdmx-qmx6sffzfxtxwsyqznbyghtxktwgf2xfd7wlrbvet2tqcx
5cf6aa1301912a71a09297dc8daee67684089008c004870957f08077e4c78d37,7,pdmx-qmeudgn3jnrd81vqgz1fi8jk4toepoyqpn1p3cdt8zwhm2;pdmx-qmezdys2ruhf94vknkmyc9nynepb4eop1vpjlkshxfgucm;pdmx-qmezszyfjf9syfdtffyr4qjupyocljdkjfnlfqzdmcuhtd;pdmx-qmpdau8ywdmaovtz1w19uv76vpqwrjhvgasg5j8j6dbns4;pdmx-qmqkufpepyh8h59u3pvehgfc9y5hhazabtb7gqgfnrgf6m;pdmx-qmqq3jfetdy58ptnj7epp628ljkdrizgyfefdedwwdakfv;pdmx-qmtcj6m1hg6avamqzawb3axk1eoc3gsk4nsyxmvql6wqxn
6bfb534f29b646e234dc3d659ad0173e292ba2b01c74f00523632a8e67a6b640,7,pdmx-qmbnyysnm66fncx6hnmap3xrztwjswcd3ppjxcxlneexqu;pdmx-qmdk4hswk6h71eldt3di5r3h9qhcyw7w7fehksx9uxjzya;pdmx-qmppoo9fleichsizn5zct1crxd7fnhihfcubwq76z273j5;pdmx-qmpwnudhguhg7hdp7vgkpdrhapx2gmjnbj1zvufmbapqwu;pdmx-qmskhpqguch8cns4krggj7wknrwa3zrjecvocpxddad8ux;pdmx-qmzrwkuswwzkgqk3kkor1ldj7utuz7arkrsqzizdtk5kws;pdmx-qmzuhsdy43gzqkvdu612oxgqro9suf2qfjgd9x2z1yjf2l
