bpm_bin,records
120-129,30325
100-109,11679
80-89,5029
70-79,4961
90-99,4512
110-119,3456
130-139,3003
60-69,2455
160-169,2000
150-159,1663
180-189,1576
140-149,1129
50-59,974
200-209,742
40-49,741
170-179,591
190-199,520
240-249,372
220-229,264
210-219,250
30-39,172
270-279,171
300-309,111
230-239,93
250-259,75
350-359,54
20-29,51
260-269,45
0-9,41
320-329,30
10-19,29
330-339,27
280-289,26
290-299,16
310-319,15
340-349,13
420-429,12
430-439,12
400-409,11
380-389,9
500-509,7
360-369,6
390-399,5
510-519,5
480-489,3
550-559,3
720-729,3
370-379,2
440-449,2
460-469,2
470-479,2
640-649,2
710-719,2
990-999,2
1090-1099,1
1150-1159,1
1370-1379,1
1490-1499,1
410-419,1
450-459,1
490-499,1
560-569,1
580-589,1
590-599,1
600-609,1
610-619,1
700-709,1
780-789,1
800-809,1
810-819,1
820-829,1
840-849,1
890-899,1
900-909,1
