gm_program_0based,records_present,track_occurrences,record_fraction
0,53131,69714,0.68714838
52,7799,25260,0.10086522
73,7395,16723,0.09564025
56,5095,8730,0.06589413
57,4649,7711,0.06012597
40,4035,5948,0.05218505
71,3998,6848,0.05170652
60,3286,5337,0.04249816
58,3280,4921,0.04242056
42,3276,3734,0.04236883
91,3264,3309,0.04221363
48,3125,8595,0.04041593
65,3075,3927,0.03976927
66,2496,2813,0.03228101
68,2362,3085,0.03054798
19,2152,2596,0.02783202
41,2005,2210,0.02593086
70,1973,2520,0.02551700
67,1663,1764,0.02150774
24,1557,2058,0.02013683
43,1362,1431,0.01761488
47,1292,1329,0.01670956
33,1103,1206,0.01426521
72,1085,1156,0.01403241
6,925,1355,0.01196311
9,925,956,0.01196311
46,910,1065,0.01176912
34,821,939,0.01061807
27,812,986,0.01050167
12,780,1130,0.01008782
25,748,880,0.00967396
53,724,1757,0.00936356
11,723,885,0.00935063
32,649,1127,0.00839358
1,604,948,0.00781159
74,549,946,0.00710027
13,547,576,0.00707440
64,482,559,0.00623375
69,471,547,0.00609149
21,465,514,0.00601389
14,437,459,0.00565176
16,320,386,0.00413859
4,309,389,0.00399633
95,278,281,0.00359540
96,219,229,0.00283235
26,206,261,0.00266422
59,198,205,0.00256075
30,182,228,0.00235382
22,181,215,0.00234089
75,178,254,0.00230209
7,173,179,0.00223743
81,168,203,0.00217276
80,161,241,0.00208223
50,149,187,0.00192703
20,148,275,0.00191410
29,147,174,0.00190117
8,145,159,0.00187530
54,136,226,0.00175890
61,131,185,0.00169424
2,125,138,0.00161664
35,122,134,0.00157784
28,120,166,0.00155197
49,114,182,0.00147437
38,112,123,0.00144851
62,106,132,0.00137091
79,104,142,0.00134504
3,103,118,0.00133211
105,101,113,0.00130624
5,92,111,0.00118984
88,83,86,0.00107345
10,82,102,0.00106051
89,78,88,0.00100878
18,75,79,0.00096998
85,70,94,0.00090532
45,64,94,0.00082772
17,62,64,0.00080185
87,53,61,0.00068545
112,53,59,0.00068545
15,52,57,0.00067252
100,52,52,0.00067252
78,51,51,0.00065959
114,49,108,0.00063372
99,47,49,0.00060786
109,47,61,0.00060786
44,45,60,0.00058199
119,45,47,0.00058199
23,44,46,0.00056906
39,44,71,0.00056906
55,44,48,0.00056906
36,42,44,0.00054319
110,39,41,0.00050439
94,37,37,0.00047852
107,35,43,0.00045266
51,34,43,0.00043973
90,29,30,0.00037506
37,24,26,0.00031039
98,24,24,0.00031039
82,22,22,0.00028453
97,22,23,0.00028453
103,22,22,0.00028453
117,21,23,0.00027160
127,20,21,0.00025866
63,19,21,0.00024573
102,19,22,0.00024573
84,18,25,0.00023280
108,18,19,0.00023280
93,17,17,0.00021986
31,16,16,0.00020693
116,16,16,0.00020693
77,15,17,0.00019400
115,15,15,0.00019400
106,14,15,0.00018106
83,13,14,0.00016813
92,13,13,0.00016813
104,11,11,0.00014226
76,10,13,0.00012933
101,9,9,0.00011640
111,9,9,0.00011640
113,7,7,0.00009053
122,7,7,0.00009053
118,6,6,0.00007760
126,6,6,0.00007760
86,4,4,0.00005173
120,3,3,0.00003880
123,3,6,0.00003880
121,2,2,0.00002587
125,2,2,0.00002587
124,1,1,0.00001293
