record_id,rwc_piece_no,category,title,composer,performer,audio_duration_seconds,reference_midi_duration_seconds,pitch_diff_semitones,midi_shift_semitones,score_representation,audio_relation,alignment_outputs,match_class,manual_postprocessing,exact_printed_edition_claim,human_performance,access,redistribution,source_catalog_url,alignment_url
rwc-c-001,1,Symphony,"Symphony no.94 in G major, Hob.I-94 'The Surprise', 1st movement","Haydn, Franz Joseph",Tokyo City Philharmonic Orchestra,504,503,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-002,2,Symphony,"Symphony no.40 in G minor, K.550, 1st movement","Mozart, Wolfgang Amadeus",Tokyo City Philharmonic Orchestra,460,464,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-003,3,Symphony,"Symphony no.5 in C minor, op.67, 1st movement","Beethoven, Ludwig van",Tokyo City Philharmonic Orchestra,436,465,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-004,4,Symphony,"Symphony no.6 in B minor, op.74 'Pathétique', 4th movement","Tchaikovsky, Pyotr Ilich",Tokyo City Philharmonic Orchestra,593,578,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-005,5,Concerto,"Violin Concerto no.5 in A major, K.219, 1st movement","Mozart, Wolfgang Amadeus",Tokyo City Philharmonic Orchestra,606,606,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-006,6,Concerto,"Piano Concerto no.1 in E minor, op.11, 2nd movement","Chopin, Frédéric François",Tokyo City Philharmonic Orchestra,600,517,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-007,7,Orchestral,"Brandenburg Concerto no.5 in D major, BWV.1050, 1st movement","Bach, Johann Sebastian",Tokyo City Philharmonic Orchestra,602,615,0.00,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-008,8,Orchestral,"Le Nozze di Figaro, K.492: Overture","Mozart, Wolfgang Amadeus",Tokyo City Philharmonic Orchestra,255,248,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-009,9,Orchestral,"Tristan und Isolde: Prelude and Liebestod","Wagner, Richard",Tokyo City Philharmonic Orchestra,1082,1080,0.00,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
rwc-c-010,10,Orchestral,"An der Schönen Blauen Donau (Blue Danube Waltz), op.314","Strauss II, Johann",Tokyo City Philharmonic Orchestra,462,464,0.25,0,MIDI reference score,real orchestral recording synchronized to reference MIDI,"warping path|synchronized event CSV|warped MIDI|60-second sonifications",human_orchestra_midi_audio_automatically_aligned,False,False,True,restricted to authorized RWC database users,unauthorized reuse reproduction and redistribution prohibited,https://staff.aist.go.jp/m.goto/RWC-MDB/rwc-mdb-c.html,https://staff.aist.go.jp/m.goto/RWC-MDB/AIST-Annotation/SyncRWC/
