record_id,track_name,score_member_path,score_sha256,score_bytes,note_events,instrument_programs,start_seconds,end_seconds,metadata_member_paths,metadata_duration_seconds,metadata_sources,source,source_doi,source_url,score_representation,origin_relation,score_audio_pair_class,human_performance_claim,printable_engraved_score_claim,audio_binary_mirrored,rights_note
synthsod-score-67a8cf517274c17b5f97,18_2_sketches_orch,SynthSOD_aligned_scores/SynthSOD_score_data/18_2_sketches_orch.txt,f4a59c749c216f06cd935d2df58fc7e2cfcdc48c6ebc70ad7927787210a5225d,11519,398,"{""40"":341,""41"":15,""42"":42}",1.527302,124.746077,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_test.json,124.9518820861678,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-4e69ef0e78cfba61344a,adagio_fuga_546_orch,SynthSOD_aligned_scores/SynthSOD_score_data/adagio_fuga_546_orch.txt,84eadb3512cff3df909fffc5d9be6f04ddf0f42655922505bf7dc4a6d4846836,535154,18469,"{""40"":6110,""41"":3189,""42"":3081,""43"":6089}",2.078549,508.173560,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_train.json,509.62204081632655,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-c97ef1c3f72e1acbd41a,adagio_lamentoso_on_b-a-c-h_orch,SynthSOD_aligned_scores/SynthSOD_score_data/adagio_lamentoso_on_b-a-c-h_orch.txt,d9bb14e426408d51463cecccf3f1903605ab3ad5d8cb8de6e3ae1bf7c24bbac1,157103,5475,"{""40"":2190,""41"":1187,""42"":2098}",0.084036,357.272154,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_evaluation.json,357.4744897959184,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-ae11c9974fbeaf2059dc,antiche_danze_liuto_3_orch,SynthSOD_aligned_scores/SynthSOD_score_data/antiche_danze_liuto_3_orch.txt,085f67344ac691c6a64a71cadb76e808aae91ee3c67154af898511058efa267c,136435,4749,"{""40"":700,""41"":616,""42"":1159,""43"":494,""46"":1361,""68"":283,""73"":136}",1.487211,329.930295,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_train.json,335.25097505668936,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-11c43fa5158331043ed1,art_of_fugue_contrapunctum_10_orch,SynthSOD_aligned_scores/SynthSOD_score_data/art_of_fugue_contrapunctum_10_orch.txt,4ff7431d54265ec68962dd95921a19589c1834e19328128c38c79f074c492f4b,116671,4151,"{""40"":1798,""41"":863,""42"":1490}",4.734558,210.580272,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_evaluation.json,210.67122448979592,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-6d5d011ea56bd8f6a012,art_of_fugue_contrapunctum_11_orch,SynthSOD_aligned_scores/SynthSOD_score_data/art_of_fugue_contrapunctum_11_orch.txt,dc839dcde2a1e3c22edbd33a7ed04b336ff9618bd067220d194c5cdc0797b693,116968,4044,"{""40"":1090,""41"":962,""42"":1992}",10.597823,409.620590,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_test.json,409.69489795918366,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-672ff4029f6ff5e13950,art_of_fugue_contrapunctum_13_orch,SynthSOD_aligned_scores/SynthSOD_score_data/art_of_fugue_contrapunctum_13_orch.txt,c570ec92fcaa9bfc34e4b9c8a2e07d906a35f69d6af9ffd88fff7b4db700dc15,71548,2550,"{""40"":612,""41"":672,""42"":1266}",0.094059,169.136508,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_train.json,169.22489795918366,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-b5ed449e12e223647e4d,art_of_fugue_contrapunctum_15_orch,SynthSOD_aligned_scores/SynthSOD_score_data/art_of_fugue_contrapunctum_15_orch.txt,0ebba2e33c326a5eca8aef8e0d06632b2bc16dc5eb1049e7362fce682c7de153,236869,8201,"{""40"":3281,""41"":1594,""42"":3326}",1.507256,456.787302,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_evaluation.json,456.8725396825397,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-0d1ae2af1b02d0845d71,art_of_fugue_contrapunctum_1_orch,SynthSOD_aligned_scores/SynthSOD_score_data/art_of_fugue_contrapunctum_1_orch.txt,33b4d2c860e87721f550be5a2a2c55a7e1cabfbb562ac4efd162f7ff25c392f5,87549,3110,"{""40"":1295,""41"":574,""42"":1241}",8.703537,185.673923,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_test.json,185.75795918367348,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
synthsod-score-c4d0deceff6405dd784d,art_of_fugue_contrapunctum_3_orch,SynthSOD_aligned_scores/SynthSOD_score_data/art_of_fugue_contrapunctum_3_orch.txt,0199db1f90f4224e11593e677dc394dde993d3501b16e7d4d38915678daaf072,80266,2845,"{""40"":1187,""41"":542,""42"":1116}",0.314558,170.058594,SynthSOD_aligned_scores/SynthSOD_metadata_aligned_all.json|SynthSOD_aligned_scores/SynthSOD_metadata_aligned_test.json,170.1725850340136,,SynthSOD aligned scores v2,10.5281/zenodo.15575778,https://zenodo.org/records/15575778,"tab-separated note events: onset, offset, MIDI pitch, MIDI instrument",Derived from the original MIDI used to synthesize the SynthSOD audio and aligned to that audio; v2 removes notes absent from the render,midi_derived_note_score_aligned_to_synthetic_orchestra_audio,False,False,False,Metadata only in this repository; source dataset terms apply
