gm_program_0based,records_present,track_occurrences,record_fraction
0,9693,15692,0.55076993
52,4383,13851,0.24904824
91,3242,3278,0.18421501
40,2424,3679,0.13773510
73,2269,4071,0.12892778
42,2031,2229,0.11540428
57,1693,2711,0.09619865
48,1392,3631,0.07909540
41,1333,1460,0.07574294
56,1250,1846,0.07102676
68,1107,1448,0.06290130
71,1078,1506,0.06125348
60,1054,1485,0.05988977
58,1052,1365,0.05977612
65,995,1258,0.05653730
70,876,1045,0.04977556
66,838,931,0.04761634
43,797,825,0.04528666
19,741,817,0.04210467
33,680,744,0.03863856
24,576,739,0.03272913
67,545,588,0.03096767
27,489,590,0.02778567
47,476,489,0.02704699
34,475,495,0.02699017
9,431,449,0.02449003
25,421,485,0.02392181
6,415,511,0.02358089
11,413,531,0.02346724
12,408,629,0.02318314
53,359,1023,0.02039889
46,354,388,0.02011478
69,325,365,0.01846696
32,305,330,0.01733053
13,296,314,0.01681914
21,273,285,0.01551225
64,271,326,0.01539860
72,271,287,0.01539860
14,253,265,0.01437582
1,226,362,0.01284164
74,214,289,0.01215978
4,190,233,0.01079607
16,187,216,0.01062560
30,141,177,0.00801182
81,124,143,0.00704585
50,114,141,0.00647764
96,113,119,0.00642082
80,111,163,0.00630718
95,109,109,0.00619353
7,99,101,0.00562532
29,99,115,0.00562532
54,96,152,0.00545486
8,92,100,0.00522757
22,89,101,0.00505711
38,87,97,0.00494346
26,85,108,0.00482982
20,80,105,0.00454571
49,80,126,0.00454571
35,79,80,0.00448889
61,77,88,0.00437525
75,77,133,0.00437525
59,76,81,0.00431843
28,72,73,0.00409114
62,66,82,0.00375021
2,64,67,0.00363657
88,63,64,0.00357975
3,62,70,0.00352293
105,62,67,0.00352293
79,59,66,0.00335246
89,57,59,0.00323882
5,50,55,0.00284107
18,50,51,0.00284107
10,45,47,0.00255696
85,45,60,0.00255696
17,44,45,0.00250014
78,40,40,0.00227286
100,40,40,0.00227286
112,36,40,0.00204557
45,34,59,0.00193193
55,34,35,0.00193193
87,34,38,0.00193193
99,33,33,0.00187511
114,30,56,0.00170464
119,30,32,0.00170464
39,29,56,0.00164782
36,28,29,0.00159100
94,28,28,0.00159100
15,26,26,0.00147736
44,25,29,0.00142054
109,21,33,0.00119325
23,20,21,0.00113643
98,20,20,0.00113643
103,20,20,0.00113643
51,19,25,0.00107961
90,19,19,0.00107961
107,19,24,0.00107961
37,17,19,0.00096596
82,17,17,0.00096596
93,17,17,0.00096596
97,15,16,0.00085232
102,15,15,0.00085232
108,15,16,0.00085232
110,14,14,0.00079550
127,13,14,0.00073868
77,12,14,0.00068186
83,12,13,0.00068186
31,11,11,0.00062504
84,11,14,0.00062504
92,10,10,0.00056821
117,10,12,0.00056821
106,9,10,0.00051139
115,9,9,0.00051139
63,8,8,0.00045457
76,8,11,0.00045457
104,8,8,0.00045457
116,8,8,0.00045457
101,7,7,0.00039775
118,5,5,0.00028411
122,4,4,0.00022729
126,4,4,0.00022729
113,3,3,0.00017046
86,2,2,0.00011364
111,2,2,0.00011364
120,2,2,0.00011364
123,2,3,0.00011364
121,1,1,0.00005682
124,1,1,0.00005682
125,1,1,0.00005682
