record_id,official_label,ensemble_size,source_annotation_page,score_format,performance_audio,individual_audio_tracks,ensemble_mix,video,note_annotations,match_class,score_performance_relation,exact_printed_edition_claim,full_orchestra,source_dataset_url,dataset_doi,audio_binary_mirrored
urmp-01,01_Jupyter,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-02,02_Sonata,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-03,03_Dance,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-04,04_Allegro,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-05,05_Entertainer,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-06,06_Entertainer,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-07,07_GString,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-08,08_Spring,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-09,09_Jesus,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-10,10_March,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-11,11_Maria,2,https://labsites.rochester.edu/air/projects/URMP/annotations_2P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-12,12_Spring,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-13,13_Hark,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-14,14_Waltz,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-15,15_Surprise,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-16,16_Surprise,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-17,17_Nocturne,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-18,18_Nocturne,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-19,19_Pavane,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-20,20_Pavane,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-21,21_Rejouissance,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-22,22_Rejouissance,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-23,23_Rejouissance,3,https://labsites.rochester.edu/air/projects/URMP/annotations_3P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-24,24_Pirates,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
urmp-25,25_Pirates,4,https://labsites.rochester.edu/air/projects/URMP/annotations_4P.html,MIDI,coordinated human performance,True,True,True,frame-level and note-level,coordinated_chamber_performance_with_score_midi,Players recorded separately while following a common conducting reference; MIDI is the supplied musical score,False,False,https://labsites.rochester.edu/air/projects/URMP.html,10.5061/dryad.ng3r749,False
